X,cac_dt,mu,r,noise,mean_norm,eff,p_opt
6,0.03,0.1,0.2,0.05,1.2767262042184283e+149,11.953129522913482,0.06
6,0.03,0.1,0.2,0.1,1.3829365888966272e+149,12.947505984007702,0.04
6,0.03,0.1,0.2,0.15,1.1551077178666153e+149,10.814497359697384,0.04
6,0.03,0.1,0.4,0.0,6.00205794853986e+148,5.619323534355463,0.08
6,0.03,0.1,0.4,0.05,4.438843250754169e+148,4.155790656827271,0.14
6,0.03,0.1,0.4,0.1,1.4644720965247228e+149,13.710868152164773,0.05
6,0.03,0.1,0.4,0.15,1.4441216249252904e+149,13.520340361572977,0.05
6,0.03,0.1,0.6,0.0,1.4143498044106528e+149,13.241606811992355,0.03
6,0.03,0.1,0.6,0.05,4.4366991024569435e+148,4.153783234857832,0.16
6,0.03,0.1,0.6,0.1,1.354003584944625e+148,1.2676625710239873,0.75
6,0.03,0.1,0.6,0.15,1.3433769179718425e+148,1.2577135368220695,0.77
6,0.03,0.3,0.05,0.0,1.068110407212618e+148,1.0000000000000002,1.0
6,0.03,0.3,0.05,0.05,1.0778944466423017e+148,1.009160138655719,0.99
6,0.03,0.3,0.05,0.1,1.068110407212618e+148,1.0000000000000002,1.0
6,0.03,0.3,0.05,0.15,1.1072465649313532e+148,1.0366405546228752,0.96
6,0.03,0.3,0.2,0.0,1.4609424538929277e+149,13.677822480032374,0.04
6,0.03,0.3,0.2,0.05,1.0974625255016694e+148,1.0274804159671564,0.97
6,0.03,0.3,0.2,0.1,1.0974625255016694e+148,1.0274804159671564,0.97
6,0.03,0.3,0.2,0.15,1.0778944466423017e+148,1.009160138655719,0.99
6,0.03,0.3,0.4,0.0,8.960157690068543e+148,8.38879354565163,0.06
6,0.03,0.3,0.4,0.05,1.068110407212618e+148,1.0000000000000002,1.0
6,0.03,0.3,0.4,0.1,1.4061362983275779e+149,13.164709273801437,0.02
6,0.03,0.3,0.4,0.15,4.1725111191965027e+148,3.906441778884309,0.19
6,0.03,0.3,0.6,0.0,4.690946450301683e+148,4.391817941876774,0.07
6,0.03,0.3,0.6,0.05,1.393894649804995e+149,13.05009894475756,0.03
6,0.03,0.3,0.6,0.1,4.554139505990344e+148,4.263734792992985,0.11
6,0.03,0.3,0.6,0.15,1.2464295008922308e+149,11.66948184827598,0.04
6,0.03,0.5,0.05,0.0,1.3799390390585628e+149,12.919441939150326,0.05
6,0.03,0.5,0.05,0.05,4.803624528156262e+148,4.497310854494889,0.15
6,0.03,0.5,0.05,0.1,1.068110407212618e+148,1.0000000000000002,1.0
6,0.03,0.5,0.05,0.15,1.0778944466423017e+148,1.009160138655719,0.99
6,0.03,0.5,0.2,0.0,2.672300533051334e+148,2.501895417370825,0.11
6,0.03,0.5,0.2,0.05,1.1210035412064675e+149,10.495202870758291,0.1
6,0.03,0.5,0.2,0.1,4.923535839759709e+148,4.609575757817358,0.17
6,0.03,0.5,0.2,0.15,1.1072465649313532e+148,1.0366405546228752,0.96
6,0.03,0.5,0.4,0.0,5.927608908940204e+148,5.549621901362352,0.15
6,0.03,0.5,0.4,0.05,1.4511071545387807e+149,13.585741181247789,0.03
6,0.03,0.5,0.4,0.1,1.3792278007751155e+149,12.91278309303625,0.02
6,0.03,0.5,0.4,0.15,1.4117472790438877e+149,13.217241115813467,0.04
6,0.03,0.5,0.6,0.0,1.0778944466423017e+148,1.009160138655719,0.99
6,0.03,0.5,0.6,0.05,1.0778944466423017e+148,1.009160138655719,0.99
6,0.03,0.5,0.6,0.1,3.94760009584297e+148,3.695872701160903,0.1
6,0.03,0.5,0.6,0.15,1.3180966700169428e+149,12.340453394295622,0.05
6,0.03,0.7,0.05,0.0,1.263504944169075e+149,11.829347749418211,0.14
6,0.03,0.7,0.05,0.05,1.4592310728636281e+149,13.661799969459093,0.02
6,0.03,0.7,0.05,0.1,5.015821698295359e+148,4.695976805791867,0.13
6,0.03,0.7,0.05,0.15,4.7994682093629604e+148,4.493419572502657,0.13
6,0.03,0.7,0.2,0.0,1.3834440255593805e+149,12.95225677249667,0.04
6,0.03,0.7,0.2,0.05,1.1744902697098465e+149,10.995963168029059,0.07
6,0.03,0.7,0.2,0.1,1.470712626131565e+149,13.769294037398188,0.05
