X,cac_dt,mu,r,noise,mean_norm,eff,p_opt
3,0.03,0.7,0.2,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.7,0.2,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.7,0.4,0.0,3.6174194385380527e+148,7.226866594022255,0.36
3,0.03,0.7,0.4,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.7,0.4,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.7,0.4,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.7,0.6,0.0,4.756644716053396e+148,9.502806456961862,0.18
3,0.03,0.7,0.6,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.7,0.6,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.7,0.6,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.05,0.1,0.05,0.0,4.717939709136572e+148,9.425481743513194,0.28
3,0.05,0.1,0.05,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.05,0.1,0.05,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.05,0.1,0.05,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.05,0.1,0.2,0.0,4.37067530887721e+148,8.731718264832436,0.28
3,0.05,0.1,0.2,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.05,0.1,0.2,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.05,0.1,0.2,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.05,0.1,0.4,0.0,5.66524486275617e+148,11.31800432358905,0.16
3,0.05,0.1,0.4,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.05,0.1,0.4,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.05,0.1,0.4,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.05,0.1,0.6,0.0,4.281149933906844e+148,8.552864816211578,0.25
3,0.05,0.1,0.6,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.05,0.1,0.6,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.05,0.1,0.6,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.05,0.3,0.05,0.0,5.336255971412981e+148,10.660751586092461,0.2
3,0.05,0.3,0.05,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.05,0.3,0.05,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.05,0.3,0.05,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.05,0.3,0.2,0.0,4.756045978257727e+148,9.501610300904314,0.32
3,0.05,0.3,0.2,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
