pivot_dt,pivot_mu,pivot_r,pivot_sig,best_dt,best_mu,best_r,best_sig,inv_eff,mean_norm
0.05363636363636364,0.1,0.05,0.0,0.020909090909090912,0.1,0.05,0.05,0.9980614568377801,4.2340772008298235e+147
0.05363636363636364,0.1,0.05,0.05,0.05363636363636364,0.1,0.05,0.05,1.0,4.225869259423844e+147
0.05363636363636364,0.1,0.05,0.1,0.05363636363636364,0.1,0.05,0.1,1.0,4.225869259423844e+147
0.05363636363636364,0.1,0.05,0.15,0.05363636363636364,0.1,0.05,0.15,1.0,4.225869259423844e+147
0.05363636363636364,0.1,0.2,0.0,0.0590909090909091,0.1,0.2,0.0,0.036492387774845515,1.1580139084066098e+149
0.05363636363636364,0.1,0.2,0.05,0.05363636363636364,0.1,0.2,0.05,1.0,4.225869259423844e+147
0.05363636363636364,0.1,0.2,0.1,0.05363636363636364,0.1,0.2,0.1,0.03910806445766618,1.0805621086152898e+149
0.05363636363636364,0.1,0.2,0.15,0.05363636363636364,0.1,0.2,0.15,1.0,4.225869259423844e+147
0.05363636363636364,0.1,0.4,0.0,0.06454545454545454,0.1,0.4,0.0,0.1509773978224587,2.799007878247603e+148
0.05363636363636364,0.1,0.4,0.05,0.05363636363636364,0.1,0.4,0.05,0.038319035042085545,1.1028120240456472e+149
0.05363636363636364,0.1,0.4,0.1,0.05363636363636364,0.1,0.4,0.1,1.0,4.225869259423844e+147
0.05363636363636364,0.1,0.4,0.15,0.05363636363636364,0.1,0.4,0.15,0.03866801780777925,1.0928590341586326e+149
0.05363636363636364,0.1,0.6,0.0,0.04272727272727273,0.1,0.6,0.0,0.03940733409985812,1.0723560362432786e+149
0.05363636363636364,0.1,0.6,0.05,0.05363636363636364,0.1,0.6,0.05,0.9996763866909906,4.227237249658174e+147
0.05363636363636364,0.1,0.6,0.1,0.04818181818181819,0.1,0.6,0.1,0.9990297880199903,4.2299732301268334e+147
0.05363636363636364,0.1,0.6,0.15,0.05363636363636364,0.1,0.6,0.15,0.9993529827653694,4.228605239892504e+147
0.05363636363636364,0.3,0.05,0.0,0.05363636363636364,0.3,0.05,0.0,0.039490791800861354,1.0700897770633385e+149
0.05363636363636364,0.3,0.05,0.05,0.05363636363636364,0.3,0.05,0.05,0.037867684178195506,1.1159566134379907e+149
0.05363636363636364,0.3,0.05,0.1,0.05363636363636364,0.3,0.05,0.1,0.08104466778371343,5.214247124439526e+148
0.05363636363636364,0.3,0.05,0.15,0.05363636363636364,0.3,0.05,0.15,1.0,4.225869259423844e+147
0.05363636363636364,0.3,0.2,0.0,0.03181818181818182,0.3,0.2,0.0,0.0357323201926257,1.1826461972362945e+149
0.05363636363636364,0.3,0.2,0.05,0.05363636363636364,0.3,0.2,0.05,0.04056206680068293,1.0418278930877098e+149
0.05363636363636364,0.3,0.2,0.1,0.05363636363636364,0.3,0.2,0.1,0.3983210287031048,1.0609204523253192e+148
0.05363636363636364,0.3,0.2,0.15,0.05363636363636364,0.3,0.2,0.15,1.0,4.225869259423844e+147
0.05363636363636364,0.3,0.4,0.0,0.06454545454545454,0.1,0.4,0.0,1.0,4.225869259423844e+147
0.05363636363636364,0.3,0.4,0.05,0.03727272727272728,0.3,0.4,0.05,0.03912669502003809,1.0800475882922478e+149
0.05363636363636364,0.3,0.4,0.1,0.05363636363636364,0.3,0.4,0.1,0.037867853440742325,1.115951625311087e+149
0.05363636363636364,0.3,0.4,0.15,0.03727272727272728,0.3,0.4,0.15,0.9983840252586861,4.232709210595493e+147
0.05363636363636364,0.3,0.6,0.0,0.03181818181818182,0.3,0.6,0.0,0.091581774409471,4.6143124946777867e+148
0.05363636363636364,0.3,0.6,0.05,0.05363636363636364,0.3,0.6,0.05,0.9990297880199903,4.2299732301268334e+147
0.05363636363636364,0.3,0.6,0.1,0.04272727272727273,0.3,0.6,0.1,0.12518816233265181,3.375614100153338e+148
0.05363636363636364,0.3,0.6,0.15,0.03181818181818182,0.3,0.6,0.15,0.9932478224015152,4.2545970543447704e+147
0.05363636363636364,0.5,0.05,0.0,0.03727272727272728,0.5,0.05,0.05,1.0,4.225869259423844e+147
0.05363636363636364,0.5,0.05,0.05,0.03727272727272728,0.5,0.05,0.05,0.04002713941371116,1.055751003274615e+149
0.05363636363636364,0.5,0.05,0.1,0.05363636363636364,0.5,0.05,0.1,0.04121048931914505,1.0254353513489206e+149
0.05363636363636364,0.5,0.05,0.15,0.05363636363636364,0.5,0.05,0.15,1.0,4.225869259423844e+147
0.05363636363636364,0.5,0.2,0.0,0.03727272727272728,0.5,0.2,0.0,0.03939706905681091,1.0726354423295054e+149
0.05363636363636364,0.5,0.2,0.05,0.05363636363636364,0.5,0.2,0.05,1.0,4.225869259423844e+147
0.05363636363636364,0.5,0.2,0.1,0.05363636363636364,0.5,0.2,0.1,0.03981486912056008,1.0613796686428485e+149
0.05363636363636364,0.5,0.2,0.15,0.05363636363636364,0.5,0.2,0.15,1.0,4.225869259423844e+147
0.05363636363636364,0.5,0.4,0.0,0.03181818181818182,0.5,0.2,0.05,0.9990297880199903,4.2299732301268334e+147
0.05363636363636364,0.5,0.4,0.05,0.05363636363636364,0.5,0.4,0.05,0.03873377620145747,1.0910036856320849e+149
