X,valid_outputs,min_mc_norm,max_mc_norm,best_cim_norm,mean_cim_norm,best_percentile_uniform,mean_percentile_uniform_of_mean,modal_norm,peak_prob,log_skew,log_kurt,quantile_10,quantile_25,quantile_50,quantile_75,quantile_90,within_1.0x_min_mc,within_1.1x_min_mc,within_1.5x_min_mc,within_2.0x_min_mc
22,38800,2.764383105528464e+146,1.1368162969234365e+151,2.517578863703575e+145,2.4066739693148165e+150,0.0,0.5472666666666667,2.905004261379017e+150,0.04860824742268041,-1.973304574295319,5.532311753168107,2.614762683421785e+149,8.717033375297524e+149,2.024831171911068e+150,3.5650608819451806e+150,5.1006288847629476e+150,0.0004123711340206186,0.00046391752577319587,0.0007474226804123712,0.0008762886597938144
23,38800,6.632493729439963e+145,1.2876224774073636e+151,2.939633470943452e+143,1.3451514311811743e+150,0.0,0.30046666666666666,3.7780277495294545e+150,0.03309278350515464,-0.24099844818122101,-1.1838495985191757,3.96471872574092e+147,1.2890525864918507e+148,1.6228655745538545e+149,2.220905238166019e+150,4.286716523381209e+150,0.0015721649484536082,0.0017010309278350515,0.002474226804123711,0.0032731958762886597
24,38800,1.7319137204664725e+146,1.4016379416221526e+151,1.4880234287794293e+144,6.65615803551766e+147,0.0,0.0016333333333333334,8.115506425333246e+147,0.03268041237113402,-1.0225307206675383,1.6973727952997155,7.052908171853362e+146,1.875373973032725e+147,4.4809328660539694e+147,9.183125844388819e+147,1.535610046282055e+148,0.02649484536082474,0.02904639175257732,0.039690721649484534,0.05293814432989691
25,38800,4.70315127947924e+145,1.5241321791741052e+151,8.47865033982661e+143,1.7853492867281134e+150,0.0,0.34403333333333336,4.15271425054304e+150,0.036262886597938145,-0.46064367869237877,-1.1576727062736283,2.912417098978948e+147,1.0764068896370416e+148,6.588281573228534e+149,3.0024134346044095e+150,5.296141493676235e+150,0.0013917525773195875,0.0015721649484536082,0.002190721649484536,0.0029381443298969073
26,38800,7.598269591933152e+144,1.537365514717939e+151,8.398236307516542e+143,8.803630103514586e+148,0.0,0.01806666666666667,9.193317747810348e+147,0.04541237113402062,0.7212788737306988,4.592180689957611,9.063155872875854e+146,2.436914880702567e+147,5.925963850039169e+147,1.2411775672565868e+148,2.2912433520705554e+148,0.0006701030927835052,0.0007474226804123712,0.0008762886597938144,0.0016237113402061856
27,38800,3.149938937026879e+143,1.6975782296891746e+151,3.298961688838797e+144,2.9072687032158964e+150,3.3333333333333335e-05,0.4831,3.758701940615124e+150,0.05,-1.5999323030975339,1.9008474469190864,1.8274783713803615e+148,6.456614321653701e+149,2.2663644203881798e+150,4.497605758601389e+150,6.771775309904415e+150,0.0,0.0,0.0,0.0
28,38800,7.739810533617255e+145,1.894438504960386e+151,3.160418552358564e+144,2.049647665191353e+150,0.0,0.32903333333333334,4.438395132690809e+150,0.03324742268041237,-0.49668043614111623,-0.9952855343217517,5.8591774322137815e+147,2.118130028003345e+148,8.175830795957207e+149,3.382564753612054e+150,6.035451959070382e+150,0.0019072164948453609,0.001984536082474227,0.002577319587628866,0.003041237113402062
29,38800,9.16195698834261e+145,1.9231980609818368e+151,1.3246062626674114e+145,3.8012058615721965e+150,0.0,0.5513,5.0821045624618516e+150,0.052371134020618555,-2.257630117965354,7.55940037389659,4.742879912654673e+149,1.4069876513634059e+150,3.1935531779755065e+150,5.5802611493058236e+150,8.042664728849814e+150,0.0002061855670103093,0.00023195876288659793,0.00028350515463917525,0.0003865979381443299
30,38800,1.3076350890336173e+145,1.945446371541111e+151,3.3439350002812895e+143,6.131522949282937e+149,0.0,0.09283333333333334,1.3427647663807104e+148,0.0413659793814433,0.8894554924544579,0.5380773002875165,1.5102993858000327e+147,4.236792728668314e+147,1.1199819970596624e+148,3.181760226918895e+148,2.0797261616546177e+150,0.0008247422680412372,0.0009536082474226804,0.0013917525773195875,0.0017268041237113402
31,38800,5.404199895953587e+146,2.1181635305169083e+151,8.27984034851207e+143,1.100185650055962e+150,0.0,0.1551,1.0235945406470225e+148,0.03360824742268041,0.5443566584478025,-0.7638724540396074,1.7215868547875876e+147,4.918176720152922e+147,1.4191674156813616e+148,6.765063623494877e+149,4.3063927575507584e+150,0.03162371134020619,0.03451030927835051,0.04623711340206185,0.061855670103092786
