pivot_dt,pivot_mu,pivot_r,pivot_sig,best_dt,best_mu,best_r,best_sig,inv_eff,mean_norm
0.04538461538461539,0.3,0.05,0.1,0.04538461538461539,0.3,0.05,0.1,1.0,4.225869259423844e+147
0.04538461538461539,0.3,0.05,0.15,0.04538461538461539,0.3,0.05,0.15,1.0,4.225869259423844e+147
0.04538461538461539,0.3,0.2,0.0,0.04538461538461539,0.3,0.2,0.0,1.0,4.225869259423844e+147
0.04538461538461539,0.3,0.2,0.05,0.04538461538461539,0.3,0.2,0.05,1.0,4.225869259423844e+147
0.04538461538461539,0.3,0.2,0.1,0.04538461538461539,0.3,0.2,0.1,1.0,4.225869259423844e+147
0.04538461538461539,0.3,0.2,0.15,0.04538461538461539,0.3,0.2,0.15,0.03890398541951466,1.0862304244294986e+149
0.04538461538461539,0.3,0.4,0.0,0.04538461538461539,0.3,0.4,0.05,0.9987068022519696,4.231341220361163e+147
0.04538461538461539,0.3,0.4,0.05,0.04538461538461539,0.3,0.4,0.05,0.9987068022519696,4.231341220361163e+147
0.04538461538461539,0.3,0.4,0.1,0.04538461538461539,0.3,0.4,0.1,1.0,4.225869259423844e+147
0.04538461538461539,0.3,0.4,0.15,0.04538461538461539,0.3,0.4,0.15,1.0,4.225869259423844e+147
0.04538461538461539,0.3,0.6,0.0,0.043846153846153854,0.3,0.6,0.05,0.996130415033039,4.2422851422358016e+147
0.04538461538461539,0.3,0.6,0.05,0.04538461538461539,0.3,0.6,0.05,0.9987068022519696,4.231341220361163e+147
0.04538461538461539,0.3,0.6,0.1,0.04538461538461539,0.3,0.6,0.1,0.9922906620044906,4.25870102504776e+147
0.04538461538461539,0.3,0.6,0.15,0.04538461538461539,0.3,0.6,0.15,0.9987068022519696,4.231341220361163e+147
0.04538461538461539,0.5,0.05,0.0,0.039230769230769236,0.5,0.2,0.0,0.09278112208217143,4.554664962643166e+148
0.04538461538461539,0.5,0.05,0.05,0.04538461538461539,0.5,0.05,0.05,1.0,4.225869259423844e+147
0.04538461538461539,0.5,0.05,0.1,0.04538461538461539,0.5,0.05,0.1,1.0,4.225869259423844e+147
0.04538461538461539,0.5,0.05,0.15,0.04538461538461539,0.5,0.05,0.15,0.09851920736369225,4.289386174031708e+148
0.04538461538461539,0.5,0.2,0.0,0.04538461538461539,0.5,0.2,0.0,0.06887906467452685,6.13520128270074e+148
0.04538461538461539,0.5,0.2,0.05,0.04538461538461539,0.5,0.2,0.05,1.0,4.225869259423844e+147
0.04538461538461539,0.5,0.2,0.1,0.04538461538461539,0.5,0.2,0.1,1.0,4.225869259423844e+147
0.04538461538461539,0.5,0.2,0.15,0.04538461538461539,0.5,0.2,0.15,1.0,4.225869259423844e+147
0.04538461538461539,0.5,0.4,0.0,0.04692307692307693,0.7,0.4,0.0,0.04156815666821877,1.0166121373033514e+149
0.04538461538461539,0.5,0.4,0.05,0.04538461538461539,0.5,0.4,0.05,1.0,4.225869259423844e+147
0.04538461538461539,0.5,0.4,0.1,0.04538461538461539,0.5,0.4,0.1,0.9987068022519696,4.231341220361163e+147
0.04538461538461539,0.5,0.4,0.15,0.04538461538461539,0.5,0.4,0.15,1.0,4.225869259423844e+147
0.04538461538461539,0.5,0.6,0.0,0.043846153846153854,0.5,0.6,0.05,0.9974169449049713,4.236813181298482e+147
0.04538461538461539,0.5,0.6,0.05,0.043846153846153854,0.5,0.6,0.05,0.9974169449049713,4.236813181298482e+147
0.04538461538461539,0.5,0.6,0.1,0.04538461538461539,0.5,0.6,0.1,0.9974169449049713,4.236813181298482e+147
0.04538461538461539,0.5,0.6,0.15,0.04538461538461539,0.5,0.6,0.15,0.9910173140988591,4.264172985985078e+147
0.04538461538461539,0.7,0.05,0.0,0.04692307692307693,0.7,0.05,0.0,0.05633760236552587,7.500974627932942e+148
0.04538461538461539,0.7,0.05,0.05,0.04538461538461539,0.7,0.05,0.05,0.038692403007324586,1.0921702791692401e+149
0.04538461538461539,0.7,0.05,0.1,0.04538461538461539,0.7,0.05,0.1,0.041452237477970645,1.0194550442951693e+149
0.04538461538461539,0.7,0.05,0.15,0.04538461538461539,0.7,0.05,0.15,1.0,4.225869259423844e+147
0.04538461538461539,0.7,0.2,0.0,0.04230769230769232,0.7,0.2,0.05,1.0,4.225869259423844e+147
0.04538461538461539,0.7,0.2,0.05,0.04538461538461539,0.7,0.2,0.05,1.0,4.225869259423844e+147
0.04538461538461539,0.7,0.2,0.1,0.04538461538461539,0.7,0.2,0.1,1.0,4.225869259423844e+147
0.04538461538461539,0.7,0.2,0.15,0.04538461538461539,0.7,0.2,0.15,1.0,4.225869259423844e+147
0.04538461538461539,0.7,0.4,0.0,0.04230769230769232,0.5,0.4,0.0,1.0,4.225869259423844e+147
0.04538461538461539,0.7,0.4,0.05,0.04538461538461539,0.7,0.4,0.05,1.0,4.225869259423844e+147
0.04538461538461539,0.7,0.4,0.1,0.04538461538461539,0.7,0.4,0.1,0.040708369413198664,1.0380836472545404e+149
0.04538461538461539,0.7,0.4,0.15,0.04538461538461539,0.7,0.4,0.15,1.0,4.225869259423844e+147
0.04538461538461539,0.7,0.6,0.0,0.04538461538461539,0.7,0.6,0.0,0.07817456346345857,5.405683219963433e+148
0.04538461538461539,0.7,0.6,0.05,0.04538461538461539,0.7,0.6,0.05,1.0,4.225869259423844e+147
0.04538461538461539,0.7,0.6,0.1,0.043846153846153854,0.7,0.6,0.1,0.996130415033039,4.2422851422358016e+147
0.04538461538461539,0.7,0.6,0.15,0.04538461538461539,0.7,0.6,0.15,0.09277910496880379,4.554763985753859e+148
0.04692307692307693,0.1,0.05,0.0,0.048461538461538466,0.5,0.05,0.0,0.03799736184786473,1.1121480686852783e+149
0.04692307692307693,0.1,0.05,0.05,0.04692307692307693,0.1,0.05,0.05,1.0,4.225869259423844e+147
0.04692307692307693,0.1,0.05,0.1,0.04692307692307693,0.1,0.05,0.1,1.0,4.225869259423844e+147
0.04692307692307693,0.1,0.05,0.15,0.04692307692307693,0.1,0.05,0.15,1.0,4.225869259423844e+147
0.04692307692307693,0.1,0.2,0.0,0.04692307692307693,0.1,0.2,0.0,0.04462843900857432,9.469005309847251e+148
0.04692307692307693,0.1,0.2,0.05,0.04692307692307693,0.1,0.2,0.05,1.0,4.225869259423844e+147
0.04692307692307693,0.1,0.2,0.1,0.04692307692307693,0.1,0.2,0.1,0.13541655185663745,3.1206445604210037e+148
0.04692307692307693,0.1,0.2,0.15,0.05000000000000001,0.1,0.2,0.15,0.036647678392576766,1.1531069483189478e+149
0.04692307692307693,0.1,0.4,0.0,0.04692307692307693,0.1,0.4,0.05,0.04072506780618229,1.0376580045331032e+149
0.04692307692307693,0.1,0.4,0.05,0.04692307692307693,0.1,0.4,0.05,1.0,4.225869259423844e+147
0.04692307692307693,0.1,0.4,0.1,0.04692307692307693,0.1,0.4,0.1,1.0,4.225869259423844e+147
0.04692307692307693,0.1,0.4,0.15,0.04692307692307693,0.1,0.4,0.15,1.0,4.225869259423844e+147
0.04692307692307693,0.1,0.6,0.0,0.04692307692307693,0.1,0.6,0.05,0.9987068022519696,4.231341220361163e+147
0.04692307692307693,0.1,0.6,0.05,0.04692307692307693,0.1,0.6,0.05,0.03950731075763172,1.0696423467921119e+149
0.04692307692307693,0.1,0.6,0.1,0.04692307692307693,0.1,0.6,0.1,0.04349544558216961,9.715659198019996e+148
0.04692307692307693,0.1,0.6,0.15,0.04692307692307693,0.1,0.6,0.15,0.9893439521242514,4.2713853461683855e+147
0.04692307692307693,0.3,0.05,0.0,0.048461538461538466,0.3,0.05,0.05,1.0,4.225869259423844e+147
0.04692307692307693,0.3,0.05,0.05,0.04692307692307693,0.3,0.05,0.05,1.0,4.225869259423844e+147
0.04692307692307693,0.3,0.05,0.1,0.04692307692307693,0.3,0.05,0.1,0.0940323260094477,4.494060116091628e+148
0.04692307692307693,0.3,0.05,0.15,0.04692307692307693,0.3,0.05,0.15,1.0,4.225869259423844e+147
0.04692307692307693,0.3,0.2,0.0,0.043846153846153854,0.1,0.2,0.0,0.03945869725936547,1.0709601565522642e+149
0.04692307692307693,0.3,0.2,0.05,0.04692307692307693,0.3,0.2,0.05,0.07659868297879273,5.516895454447731e+148
0.04692307692307693,0.3,0.2,0.1,0.04692307692307693,0.3,0.2,0.1,1.0,4.225869259423844e+147
0.04692307692307693,0.3,0.2,0.15,0.04692307692307693,0.3,0.2,0.15,1.0,4.225869259423844e+147
0.04692307692307693,0.3,0.4,0.0,0.043846153846153854,0.5,0.4,0.0,0.03730262169079168,1.1328611952406065e+149
0.04692307692307693,0.3,0.4,0.05,0.04692307692307693,0.3,0.4,0.05,0.08239072220408884,5.129059615421268e+148
0.04692307692307693,0.3,0.4,0.1,0.04692307692307693,0.3,0.4,0.1,0.03568765125056856,1.1841264726987376e+149
0.04692307692307693,0.3,0.4,0.15,0.04692307692307693,0.3,0.4,0.15,0.9987068022519696,4.231341220361163e+147
0.04692307692307693,0.3,0.6,0.0,0.04692307692307693,0.3,0.6,0.0,1.0,4.225869259423844e+147
0.04692307692307693,0.3,0.6,0.05,0.04692307692307693,0.3,0.6,0.05,0.9987068022519696,4.231341220361163e+147
0.04692307692307693,0.3,0.6,0.1,0.04692307692307693,0.3,0.6,0.1,0.9974169449049713,4.236813181298482e+147
0.04692307692307693,0.3,0.6,0.15,0.04692307692307693,0.3,0.6,0.15,0.09267837279348104,4.559714561282295e+148
0.04692307692307693,0.5,0.05,0.0,0.04692307692307693,0.5,0.05,0.0,0.0367167533237529,1.1509376175398476e+149
